nombre_completo,usuario_gestor_1,Servicio,coordinador,jefe_inmediato,estado,rango_antiguedad
ESPINOZA DELGADO LEANDRO HUGO,9003587,EQUIPAJES AMC ING,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
ESPINOZA ESCOBAR ELENA MATEO,9005863,LUA AMC ING,GALLEGO FIGUEROA LUCIA OSCAR,DELGADO OCAMPO CAMILO JULIAN,Activo,>180 y <=360
ESPINOZA FIGUEROA TAMARA RAMIRO,9006062,LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,CARDENAS MEDINA PABLO BRUNO,Activo,>180 y <=360
ESPINOZA GALLEGO LEANDRO VALENTIN,9000874,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,ESCOBAR MALDONADO CAMILO VALERIA,Activo,>360
ESPINOZA GUERRERO ELENA CAROLINA,9019051,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>120 y <=180
ESPINOZA HERRERA TAMARA GABRIELA,9002641,AG CORPORATE CHAT,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
ESPINOZA IBARRA LEANDRO JULIETA,,EQUIPAJES AMC ING,AGUIRRE OCAMPO ANDRES IGNACIO,MONTOYA HERRERA XIMENA GABRIELA,Retiro,>360
ESPINOZA JIMENEZ ELENA OLIVIA,9002999,EQUIPAJES AMC ING,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
ESPINOZA LEIVA TAMARA TAMARA,9001909,RRSS AMC ING,DELGADO JIMENEZ RAMIRO MARIANA,HOYOS LEIVA VALERIA TAMARA,Retiro,>360
ESPINOZA MALDONADO LEANDRO ANDRES,9002167,BO_CORPORATE,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
ESPINOZA MEDINA ELENA EMILIO,9002147,SOPORTE LUA AMC,TAMAYO IBARRA IGNACIO JULIETA,JARAMILLO NAVARRO XIMENA IGNACIO,Activo,>360
ESPINOZA NAVARRO TAMARA HUGO,9001499,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,MALDONADO JIMENEZ VALENTIN MARIANA,Activo,>360
FIGUEROA DELGADO DIEGO FABIAN,9004207,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,ARIAS MEDINA OSCAR BRUNO,Activo,>360
FIGUEROA ESCOBAR SANTIAGO JULIAN,9003516,AG CORPORATE CHAT,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
FIGUEROA FIGUEROA JULIETA OSCAR,9003333,BO AGENCIAS TARGET,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>360
FIGUEROA GALLEGO DIEGO SANTIAGO,9003866,BO_WAIVERS,HOYOS MEDINA FLORENCIA EMILIO,GUERRERO MALDONADO DIEGO VALERIA,Activo,>360
FIGUEROA GUERRERO SANTIAGO ADRIANA,9006917,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,MALDONADO IBARRA FABIAN ISABEL,Activo,>180 y <=360
FIGUEROA HERRERA JULIETA ELENA,9013296,CHAT VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,IRIARTE NAVARRO VALERIA IGNACIO,Activo,>360
FIGUEROA IBARRA DIEGO HELENA,9018076,WPP VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>180 y <=360
FIGUEROA JIMENEZ SANTIAGO MARIANA,9007348,RRSS PORT AMC,TAMAYO DELGADO IGNACIO HUGO,ARIAS MEDINA OSCAR BRUNO,Activo,>180 y <=360
FIGUEROA LEIVA JULIETA PAULA,9011260,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,IRIARTE NAVARRO VALERIA IGNACIO,Activo,>360
FIGUEROA MALDONADO DIEGO VALERIA,9000020,BO_WAIVERS,HOYOS MEDINA FLORENCIA EMILIO,GUERRERO MALDONADO DIEGO VALERIA,Activo,>360
FIGUEROA MEDINA SANTIAGO CAMILO,,PLANEACION,HOYOS MEDINA FLORENCIA EMILIO,HOYOS MEDINA FLORENCIA EMILIO,Retiro,>360
FUENTES DELGADO MATEO IGNACIO,9004719,DT FFP AMC,FUENTES MEDINA ELENA EMILIO,REYES NAVARRO PAULA HUGO,Retiro,>360
FUENTES ESCOBAR ELENA MATEO,9000402,BO_CUS_COL,FUENTES MEDINA ELENA EMILIO,CASTILLO DELGADO BRUNO FABIAN,Activo,>360
FUENTES FIGUEROA TAMARA RAMIRO,9001941,RRSS AMC ING,TAMAYO DELGADO IGNACIO HUGO,HOYOS LEIVA VALERIA TAMARA,Activo,>360
FUENTES GALLEGO MATEO VALENTIN,9005217,CHAT AGENCIAS ESP,LEIVA FIGUEROA MARIANA OSCAR,NAVARRO JIMENEZ XAVIER NATALIA,Activo,>360
FUENTES GUERRERO ELENA CAROLINA,9001721,DT FFP AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Activo,>360
FUENTES HERRERA TAMARA GABRIELA,9003425,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,JIMENEZ GALLEGO EMILIO TOMAS,Retiro,>360
FUENTES IBARRA MATEO JULIETA,9002513,EQUIPAJES AMC ING,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
FUENTES JIMENEZ ELENA OLIVIA,9008412,CHAT LUA AMC,IBARRA ESCOBAR TOMAS JULIAN,SALGADO DELGADO HUGO HUGO,Retiro,>30 y <=60
FUENTES LEIVA TAMARA TAMARA,9000955,RRSS AMC ING,AGUIRRE OCAMPO ANDRES IGNACIO,TAMAYO DELGADO IGNACIO HUGO,Activo,>360
FUENTES MALDONADO MATEO ANDRES,9014390,WPP VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>360
FUENTES MEDINA ELENA EMILIO,,BO LUA AMC,AGUIRRE OCAMPO ANDRES IGNACIO,AGUIRRE OCAMPO ANDRES IGNACIO,Activo,>360
FUENTES NAVARRO TAMARA IGNACIO,9003845,DT FFP AMC ING,FUENTES MEDINA ELENA EMILIO,ARIAS NAVARRO HELENA FABIAN,Activo,>360
GALLEGO DELGADO DIEGO FABIAN,9003359,AG CHECK IN,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
GALLEGO ESCOBAR SANTIAGO JULIAN,9001637,LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,CARDENAS MEDINA PABLO BRUNO,Retiro,>360
GALLEGO GALLEGO DIEGO SANTIAGO,9001561,DT FFP AMC,FUENTES MEDINA ELENA EMILIO,ARIAS NAVARRO HELENA FABIAN,Activo,>360
GALLEGO GUERRERO SANTIAGO ADRIANA,9008195,BO_CORPORATE,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>120 y <=180
GALLEGO HERRERA LUCIA ELENA,9005105,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,MALDONADO IBARRA FABIAN ISABEL,Activo,>360
GALLEGO IBARRA DIEGO HELENA,9016950,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>180 y <=360
GALLEGO JIMENEZ SANTIAGO MARIANA,9004474,BO_CORPORATE,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
GALLEGO LEIVA LUCIA RENATA,,CARGO BOOKING,GALLEGO FIGUEROA LUCIA OSCAR,GRANADOS ESCOBAR ELENA MATEO,Activo,>360
GALLEGO MALDONADO DIEGO VALERIA,9005842,LUA AMC ING,GALLEGO FIGUEROA LUCIA OSCAR,MONTOYA FIGUEROA XIMENA RAMIRO,Activo,>180 y <=360
GALLEGO MEDINA SANTIAGO CAMILO,9001658,SPEECH,HOYOS MALDONADO MATEO ANDRES,ARIAS MALDONADO ANDRES TAMARA,Activo,>360
GALLEGO NAVARRO LUCIA FABIAN,9007297,LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,SALGADO DELGADO HUGO HUGO,Activo,>180 y <=360
GALLEGO OCAMPO DIEGO JULIAN,9013687,WPP VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>360
GRANADOS DELGADO MATEO IGNACIO,9004005,BO_CORPORATE,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Retiro,>360
GRANADOS ESCOBAR ELENA MATEO,,CARGO BOOKING,GALLEGO FIGUEROA LUCIA OSCAR,GALLEGO FIGUEROA LUCIA OSCAR,Activo,>360
GRANADOS FIGUEROA VALERIA RAMIRO,,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,TAMAYO IBARRA IGNACIO JULIETA,Activo,>360
GRANADOS GALLEGO MATEO XAVIER,9002043,BO ANTIFRAUDE AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
GRANADOS GUERRERO ELENA CAROLINA,9008041,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,PALACIOS MEDINA ADRIANA DIEGO,Activo,>120 y <=180
GRANADOS LEIVA VALERIA TAMARA,9006883,BO HVC AMC PORTUGUES,TAMAYO DELGADO IGNACIO HUGO,MEDINA JIMENEZ XAVIER NATALIA,Retiro,>180 y <=360
GRANADOS MALDONADO MATEO ANDRES,9004257,HVC AMC,TAMAYO DELGADO IGNACIO HUGO,FIGUEROA OCAMPO DIEGO JULIAN,Retiro,>360
GRANADOS MEDINA ELENA EMILIO,9005790,BO_CORPORATE,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>180 y <=360
GRANADOS NAVARRO VALERIA IGNACIO,9011042,VENTAS AMC,MONTOYA HERRERA XIMENA GABRIELA,GRANADOS FIGUEROA VALERIA RAMIRO,Retiro,>120 y <=180
GUERRERO DELGADO DIEGO GABRIEL,9007797,CHAT AGENCIAS ESP,LEIVA FIGUEROA MARIANA OSCAR,CAMACHO LEIVA SOFIA SOFIA,Activo,>120 y <=180
GUERRERO ESCOBAR TOMAS JULIAN,9018536,WPP VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,IRIARTE NAVARRO VALERIA IGNACIO,Activo,>180 y <=360
GUERRERO FIGUEROA LUCIA OSCAR,9001288,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
GUERRERO GALLEGO DIEGO SANTIAGO,9008216,DT FFP AMC,FUENTES MEDINA ELENA EMILIO,ARIAS NAVARRO HELENA FABIAN,Activo,>120 y <=180
GUERRERO GUERRERO TOMAS ADRIANA,9000500,LATAM TRAVEL AMC,FUENTES MEDINA ELENA EMILIO,CASTILLO DELGADO BRUNO FABIAN,Activo,>360
GUERRERO HERRERA LUCIA ELENA,9002757,DT FFP AMC,FUENTES MEDINA ELENA EMILIO,ARIAS NAVARRO HELENA FABIAN,Activo,>360
GUERRERO JIMENEZ TOMAS MARIANA,9007749,AGENCIAS TARGET ES,LEIVA FIGUEROA MARIANA OSCAR,LEIVA LEIVA MARIANA RENATA,Activo,>120 y <=180
GUERRERO LEIVA LUCIA RENATA,9013970,CHAT VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>360
GUERRERO MEDINA TOMAS CAMILO,9001093,EQUIPAJES AMC ING,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
GUERRERO NAVARRO LUCIA GABRIEL,,ANTIFRAUDE,CABRERA OCAMPO BRUNO IGNACIO,HERRERA GALLEGO EMILIO TOMAS,Retiro,>360
HERRERA DELGADO EMILIO GABRIEL,9003677,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
HERRERA ESCOBAR TOMAS JULIAN,9002084,SOPORTE LUA AMC,TAMAYO IBARRA IGNACIO JULIETA,JARAMILLO NAVARRO XIMENA IGNACIO,Activo,>360
HERRERA FIGUEROA LUCIA OSCAR,9001229,BO HVC AMC PORTUGUES,TAMAYO ESCOBAR BELEN LEANDRO,TAMAYO ESCOBAR BELEN LEANDRO,Retiro,>360
HERRERA GUERRERO TOMAS ADRIANA,9005728,AG CORPORATE CHAT,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>180 y <=360
HERRERA HERRERA LUCIA ELENA,,LUA AMC,AGUIRRE OCAMPO ANDRES IGNACIO,MONTOYA HERRERA XIMENA GABRIELA,Retiro,>360
HERRERA IBARRA EMILIO HELENA,,WPP HVC PORT AMC,AGUIRRE OCAMPO ANDRES IGNACIO,TAMAYO DELGADO IGNACIO HUGO,Retiro,>360
HERRERA JIMENEZ TOMAS MARIANA,9003964,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
HERRERA LEIVA LUCIA RENATA,9003137,SOPORTE LUA AMC,TAMAYO IBARRA IGNACIO JULIETA,JARAMILLO NAVARRO XIMENA IGNACIO,Activo,>360
HERRERA MALDONADO EMILIO VALERIA,9013714,WPP VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>360
HERRERA MEDINA TOMAS CAMILO,9000041,BO_CUS_COL,FUENTES MEDINA ELENA EMILIO,CASTILLO DELGADO BRUNO FABIAN,Activo,>360
HERRERA NAVARRO LUCIA GABRIEL,9003313,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,MALDONADO JIMENEZ VALENTIN MARIANA,Activo,>360
HERRERA OCAMPO EMILIO JULIAN,9008300,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>120 y <=180
HOYOS DELGADO MATEO IGNACIO,9007880,BO LUA AMC,FUENTES MEDINA ELENA EMILIO,GUERRERO OCAMPO DIEGO JULIAN,Activo,>120 y <=180
HOYOS ESCOBAR FLORENCIA MATEO,9007192,AGENCIAS TARGET ES,LEIVA FIGUEROA MARIANA OSCAR,CAMACHO LEIVA SOFIA SOFIA,Activo,>180 y <=360
HOYOS FIGUEROA VALERIA RAMIRO,9003922,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,HOYOS LEIVA VALERIA TAMARA,Activo,>360
HOYOS GALLEGO MATEO XAVIER,9008020,CORPORATE PYME,LEIVA FIGUEROA MARIANA OSCAR,VALENCIA HERRERA RENATA FLORENCIA,Activo,>120 y <=180
HOYOS GUERRERO FLORENCIA CAROLINA,9007064,AGENCIAS TARGET ES,LEIVA FIGUEROA MARIANA OSCAR,LEIVA LEIVA MARIANA RENATA,Retiro,>180 y <=360
HOYOS HERRERA VALERIA GABRIELA,9006596,DT FFP AMC ING,FUENTES MEDINA ELENA EMILIO,ARIAS NAVARRO HELENA FABIAN,Activo,>180 y <=360
HOYOS IBARRA MATEO LUCIA,9008154,DT FFP AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Activo,>120 y <=180
HOYOS JIMENEZ FLORENCIA OLIVIA,9006767,BO AGENCIAS TARGET,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>180 y <=360
HOYOS NAVARRO VALERIA IGNACIO,9013718,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Retiro,>360
IBARRA DELGADO EMILIO GABRIEL,9015608,WPP VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>360
IBARRA FIGUEROA MARIANA OSCAR,9001679,EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
IBARRA GALLEGO EMILIO TOMAS,9005197,CHAT AGENCIAS ESP,LEIVA FIGUEROA MARIANA OSCAR,CAMACHO LEIVA SOFIA SOFIA,Activo,>360
IBARRA GUERRERO TOMAS ADRIANA,9005066,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,ESCOBAR DELGADO CAMILO FABIAN,Activo,>360
IBARRA HERRERA MARIANA ELENA,9002615,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
IBARRA IBARRA EMILIO ISABEL,9002126,BO HVC AMC PORTUGUES,TAMAYO DELGADO IGNACIO HUGO,JIMENEZ GALLEGO EMILIO TOMAS,Retiro,>360
IBARRA JIMENEZ TOMAS MARIANA,9006224,CORPORATE PYME,LEIVA FIGUEROA MARIANA OSCAR,VALENCIA HERRERA RENATA FLORENCIA,Activo,>180 y <=360
IBARRA LEIVA MARIANA RENATA,9002262,BO ANTIFRAUDE AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
IBARRA MALDONADO EMILIO VALERIA,9005156,BO AGENCIAS TARGET,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>360
IBARRA MEDINA TOMAS CAMILO,9000182,BO HVC AMC PORTUGUES,TAMAYO DELGADO IGNACIO HUGO,JIMENEZ GALLEGO EMILIO TOMAS,Retiro,>360
IBARRA NAVARRO MARIANA GABRIEL,9004423,HVC AMC,TAMAYO DELGADO IGNACIO HUGO,MALDONADO JIMENEZ VALENTIN MARIANA,Retiro,>360
IBARRA OCAMPO EMILIO JULIAN,9008237,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>120 y <=180
IRIARTE DELGADO NICOLAS IGNACIO,9013492,CHAT VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>360
IRIARTE ESCOBAR FLORENCIA MATEO,,CHAT LUA AMC ING,DUARTE NAVARRO TAMARA HUGO,LEIVA FIGUEROA MARIANA OSCAR,Retiro,>360
IRIARTE FIGUEROA VALERIA RAMIRO,9002417,SPEECH,HOYOS MALDONADO MATEO ANDRES,ARIAS MALDONADO ANDRES TAMARA,Activo,>360
IRIARTE GALLEGO NICOLAS XAVIER,9001520,BO ANTIFRAUDE AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
IRIARTE GUERRERO FLORENCIA CAROLINA,9000339,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,ESCOBAR MALDONADO CAMILO VALERIA,Activo,>360
IRIARTE HERRERA VALERIA GABRIELA,9006827,BO AGENCIAS TARGET,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>180 y <=360
IRIARTE IBARRA NICOLAS LUCIA,9005318,CARGO BOOKING,GALLEGO FIGUEROA LUCIA OSCAR,GRANADOS ESCOBAR ELENA MATEO,Activo,>360
IRIARTE JIMENEZ FLORENCIA OLIVIA,9006428,LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,CARDENAS MEDINA PABLO BRUNO,Activo,>180 y <=360
IRIARTE MALDONADO NICOLAS BRUNO,9000082,AG CELULA REMISION,LEIVA FIGUEROA MARIANA OSCAR,NAVARRO JIMENEZ XAVIER NATALIA,Activo,>360
IRIARTE MEDINA FLORENCIA EMILIO,9011091,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>120 y <=180
JARAMILLO DELGADO NICOLAS IGNACIO,9004504,BO_CORPORATE,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
JARAMILLO ESCOBAR FLORENCIA NICOLAS,9008081,CORPORATE PYME,LEIVA FIGUEROA MARIANA OSCAR,VALENCIA HERRERA RENATA FLORENCIA,Activo,>120 y <=180
JARAMILLO FIGUEROA XIMENA RAMIRO,9011105,WPP VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>120 y <=180
JARAMILLO GALLEGO NICOLAS XAVIER,9011084,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>120 y <=180
JARAMILLO GUERRERO FLORENCIA CAROLINA,9013044,CHAT VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>360
JARAMILLO HERRERA XIMENA GABRIELA,,CARGO BOOKING,GALLEGO FIGUEROA LUCIA OSCAR,GRANADOS ESCOBAR ELENA MATEO,Activo,>360
JARAMILLO IBARRA NICOLAS LUCIA,9003650,BO ANTIFRAUDE AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
JARAMILLO JIMENEZ FLORENCIA OLIVIA,9005381,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
JARAMILLO LEIVA XIMENA TAMARA,9000773,BO_CUS_COL,FUENTES MEDINA ELENA EMILIO,CASTILLO DELGADO BRUNO FABIAN,Activo,>360
JARAMILLO MALDONADO NICOLAS BRUNO,9006575,DT FFP AMC ING,FUENTES MEDINA ELENA EMILIO,ARIAS NAVARRO HELENA FABIAN,Activo,>180 y <=360
JARAMILLO MEDINA FLORENCIA EMILIO,9007462,BO LUA AMC,FUENTES MEDINA ELENA EMILIO,GUERRERO OCAMPO DIEGO JULIAN,Activo,>180 y <=360
JARAMILLO NAVARRO XIMENA IGNACIO,,SOPORTE LUA AMC,TAMAYO IBARRA IGNACIO JULIETA,TAMAYO IBARRA IGNACIO JULIETA,Activo,>360
JIMENEZ DELGADO EMILIO GABRIEL,9012738,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>360
JIMENEZ ESCOBAR VALENTIN JULIAN,9008489,CHAT LUA AMC,IBARRA ESCOBAR TOMAS JULIAN,SALGADO DELGADO HUGO HUGO,Retiro,>30 y <=60
JIMENEZ FIGUEROA MARIANA OSCAR,9004358,DT FFP AMC ING,FUENTES MEDINA ELENA EMILIO,ARIAS NAVARRO HELENA FABIAN,Retiro,>360
JIMENEZ GUERRERO VALENTIN ADRIANA,,VENTAS AMC,AGUIRRE OCAMPO ANDRES IGNACIO,TAMAYO IBARRA IGNACIO JULIETA,Retiro,>360
JIMENEZ HERRERA MARIANA ELENA,9003232,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,HOYOS LEIVA VALERIA TAMARA,Activo,>360
JIMENEZ IBARRA EMILIO ISABEL,9007418,RRSS PORT AMC,DELGADO JIMENEZ RAMIRO MARIANA,ARIAS MEDINA OSCAR BRUNO,Retiro,>120 y <=180
JIMENEZ JIMENEZ VALENTIN MARIANA,9007546,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>180 y <=360
JIMENEZ LEIVA MARIANA RENATA,9008549,AGENCIAS TARGET ENG,LEIVA FIGUEROA MARIANA OSCAR,URIBE MALDONADO IGNACIO ANDRES,Activo,>60 y <=90
JIMENEZ MALDONADO EMILIO XIMENA,9002063,AG CHECK IN,LEIVA FIGUEROA MARIANA OSCAR,URIBE MALDONADO IGNACIO ANDRES,Activo,>360
JIMENEZ MEDINA VALENTIN CAMILO,9007213,LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,SALGADO DELGADO HUGO HUGO,Activo,>180 y <=360
JIMENEZ NAVARRO MARIANA GABRIEL,9004228,SOPORTE LUA AMC,TAMAYO IBARRA IGNACIO JULIETA,JARAMILLO NAVARRO XIMENA IGNACIO,Activo,>360
JIMENEZ OCAMPO EMILIO JULIAN,9005914,BO_CORPORATE,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>180 y <=360
LEIVA DELGADO FABIAN GABRIEL,9000479,BO_WAIVERS,HOYOS MEDINA FLORENCIA EMILIO,GUERRERO MALDONADO DIEGO VALERIA,Activo,>360
LEIVA ESCOBAR VALENTIN LEANDRO,9007958,CORPORATE PYME,LEIVA FIGUEROA MARIANA OSCAR,VALENCIA HERRERA RENATA FLORENCIA,Activo,>120 y <=180
LEIVA GALLEGO FABIAN TOMAS,9003200,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,ESCOBAR DELGADO CAMILO FABIAN,Activo,>360
LEIVA GUERRERO VALENTIN ADRIANA,9006041,CORPORATE PYME,LEIVA FIGUEROA MARIANA OSCAR,VALENCIA HERRERA RENATA FLORENCIA,Activo,>180 y <=360
LEIVA HERRERA MARIANA ELENA,9003470,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,JIMENEZ GALLEGO EMILIO TOMAS,Retiro,>360
LEIVA IBARRA FABIAN ISABEL,9003761,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
LEIVA JIMENEZ VALENTIN MARIANA,9008000,BO LUA AMC,FUENTES MEDINA ELENA EMILIO,GUERRERO OCAMPO DIEGO JULIAN,Activo,>120 y <=180
LEIVA MALDONADO FABIAN XIMENA,9013383,WPP VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,IRIARTE NAVARRO VALERIA IGNACIO,Activo,>360
LEIVA MEDINA VALENTIN CAMILO,9008279,BO EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>120 y <=180
LEIVA NAVARRO MARIANA GABRIEL,,EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Activo,>360
LEIVA OCAMPO FABIAN LEANDRO,9000833,RRSS AMC ING,TAMAYO DELGADO IGNACIO HUGO,HOYOS LEIVA VALERIA TAMARA,Activo,>360
LOZANO DELGADO NICOLAS IGNACIO,9000660,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
LOZANO ESCOBAR GABRIELA NICOLAS,9007665,AGENCIAS TARGET ES,LEIVA FIGUEROA MARIANA OSCAR,LEIVA LEIVA MARIANA RENATA,Activo,>120 y <=180
LOZANO FIGUEROA XIMENA RAMIRO,9003629,EQUIPAJES AMC ING,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
LOZANO GALLEGO NICOLAS XAVIER,9000062,BO ANTIFRAUDE AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
LOZANO GUERRERO GABRIELA DANIELA,9005672,AGENCIAS TARGET ENG,LEIVA FIGUEROA MARIANA OSCAR,URIBE MALDONADO IGNACIO ANDRES,Activo,>360
LOZANO HERRERA XIMENA GABRIELA,9000752,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
LOZANO IBARRA NICOLAS LUCIA,9008440,BO LUA AMC,FUENTES MEDINA ELENA EMILIO,GUERRERO OCAMPO DIEGO JULIAN,Activo,>120 y <=180
LOZANO JIMENEZ GABRIELA OLIVIA,9005610,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,IRIARTE LEIVA VALERIA TAMARA,Retiro,>180 y <=360
